"","season","day","date","home_team","away_team","home_score","away_score","stadium","home_1","home_2","home_3","home_4","home_5","home_6","home_7","home_8","home_9","home_10","home_11","home_12","home_13","home_14","home_15","home_16","home_17","home_18","home_19","home_20","home_21","home_22","home_23","away_1","away_2","away_3","away_4","away_5","away_6","away_7","away_8","away_9","away_10","away_11","away_12","away_13","away_14","away_15","away_16","away_17","away_18","away_19","away_20","away_21","away_22","away_23","delayed_game","score_diff","winning_team"
"1083","2010-2011","J24","2011-04-16","Biarritz Olympique PB","CA Brive",52,26,"","EDUARD COETZEE","ROMAIN TERRAIN","CAMPBELL JOHNSTONE","ERIK LUND","PELU IAN TAELE","MAGNUS LUND","WENCESLAS LAURET","RAPHAEL LAKAFIA","DIMITRI YACHVILI","JULIEN PEYRELONGUE","ILIKENA BOLAKORO","CHARLES GIMENEZ","MARCELO BOSCH","TAKUDZWA NGWENYA","IAIN BALSHAW","EUSEBIO GUINAZU","JAMES TAYLOR AFOA","JEROME THION","BENOIT GUYOT","YANN LESGOURGUES","LAURENT TRANIER","JEAN BAPTISTE GOBELET","ALEXANDRE BAROZZI","DAVIT KHINCHAGISHVILI","BENOIT CABELLO","PABLO CARDINALI","RETIEF PHILLIPUS RUDOLPH UYS","ARNAUD MELA","SIMON AZOULAI","JULIEN LE DEVEDEC","ANTONIE CLAASSEN","AGUSTIN FIGUEROLA","MATHIEU BELIE","REGIS LESPINAS","FABRICE ESTEBANEZ","JAMIE NOON","AYITE ATAYI","SCOTT SPEDDING","JEAN PHILIPPE BONREPAUX","PABLO HENN","THIBAULT DUBARRY","DAMIEN BROWNE","FABIEN DOMINGO","GERHARD VOSLOO","PATRICK BARNARD","",0,26,"Biarritz Olympique PB"
"1084","2010-2011","J24","2011-04-16","USA Perpignan","Racing 92",23,16,"","PERRY FRESHWATER","GUILHEM GUIRADO","NICOLAS MAS","RIMAS ALVAREZ KAIRELIS","GUILLAUME VILACECA","BERTRAND GUIRY","DAMIEN CHOULY","HENRY TUILAGI","DAVID MELE","NICOLAS LAHARRAGUE","RUDOLF COETZEE","GAVIN HUME","DAVID MARTY","ADRIEN PLANTE","JOFFREY MICHEL","CHARLES GELI","KISI PULU","YOHAN VIVALDA","ROBINS TCHALE WATCHOU","FLORIAN CAZENAVE","MANUEL EDMONDS","ARMAND BATLLE","BENOIT BOURRUST","JULIEN BRUGNAUT","BENJAMIN NOIROT","SALEMANE SA","LIONEL NALLET","FRANCOIS VAN DER MERWE","JOHN LEO O","ALVARO GALINDO","JACQUES CRONJE","NICOLAS DURAND","JONATHAN WISNIEWSKI","JULIEN SAUBADE","FRANÇOIS STEYN","HENRY CHAVANCY","SERELI BOBO","ANDREA MASI","CARLO FESTUCCIA","ANDREA LO CICERO","JONE QOVU NAILIKO","SEBASTIEN CHABAL","MATHIEU LOREE","MIRCO BERGAMASCO","JUAN PABLO ORLANDI","",0,7,"USA Perpignan"
"1085","2010-2011","J24","2011-04-16","Montpellier Hérault Rugby","Aviron Bayonnais",17,22,"","JUAN GUILLERMO FIGALLO","JOAN CAUDULLO","GIORGE JGENTI","LIONEL DARGIER DE SAINT VAULRY","HENDRIKUS HANCKE","KÉVIN GIMENO","MAMUKA GORGODZE","MASINIVANUA MATADIGO","JULIEN TOMAS","FRANCOIS TRINH DUC","DIMITRI PELO","SANTIAGO FERNANDEZ","PIERRE BERARD","JIM NAGUSA","MARTIN BUSTOS MOYANO","FABIEN ROFES","NAMAA LELEIMALEFAGA","MARC GIRAUD","ALEX TULOU","ADRIEN TOMAS","GRANT REES","BENJAMIN THIERY","KEVIN KERVAREC","ARETZ IGUINIZ","DAVID ROUMIEU","CLEMENT BAIOCCO","ROBIN LINDE","ROSS AMI FILIPO","GUILLAUME BERNAD","ABDELLATIF BOUTATY","MARC BAGET RABAROU","CEDRIC GARCIA","BENJAMIN BOYET","SAM GERBER","SEBASTIEN FAUQUE","THIBAULT LACROIX","YOANN HUGET","JOHAN PIETERSEN","ARNAUD HEGUY","PIERRE LAFOND","TROY VANDEM FLAVELL","FRANCOIS CARRILLO","JULIEN AUDY","THIBAUT VISENSANG","DENIS AVRIL","",0,-5,"Aviron Bayonnais"
"1086","2010-2011","J24","2011-04-16","Bourgoin","Castres Olympique",22,33,"","ARNAUD TCHOUGONG KAMGA","JULIEN JANAUDY","RUAAN DU PREEZ","CAMILLE LEVAST","COENRAAD BASSON","BOGDAN LEONTE","EWERT WESSEL JOOSTE","JULIEN FRIER","MICHAEL FOREST","SEBASTIEN LALOO","JEAN FRANCOIS COUX","WILLIEM PETRUS VAN ZYL","DAVID JANIN","FABIEN PERRIN","ANTHONY FOREST","REMY VIGNEAUX","OLIVIER MILLOUD","ALBIN LOUCHARD","YAN LABRIT","ALEXANDRE DUMOULIN","MATIAS VIAZZO","JEREMY GONDRAND","ERWAN IAPTEFF","YANNICK FORESTIER","BENJAMIN KAYSER","LUC DUCALCON","SCOTT MURRAY","IOSEFA TEKORI","IBRAHIM DIARRA","YANNICK CABALLERO","MATEMINI MASOE","ALEXANDRE ALBOUY","PIERRE BERNARD","MARC ANDREU","JOSHUA TATUPU","YOAN AUDRIN","MATTHIEU NICOLAS","ROMAIN TEULET","MATHIEU BONELLO","CARL HOEFT","RODRIGO CAPO ORTEGA","MATTHIAS ROLLAND","STEVE MALONGA","THOMAS SANCHOU","MICHAEL COETZEE","",0,-11,"Castres Olympique"
"1087","2010-2011","J24","2011-04-16","RC Toulon","Stade Toulousain",21,9,"","LAURENT EMMANUELLI","SEBASTIEN BRUNO","CARL HAYMAN","CHRISTOPHE SAMSON","JOCELINO SUTA","OLIVIER MISSOUP","JOSEPH EL ABD","JOHANN VAN NIEKERK","FABIEN CIBRAY","JONATHAN WILKINSON","JEREMY SINZELLE","GAVIN LLOYD HENSON","GABIRIELE LOVOBALAVU","PAUL SACKEY","RORY LAMONT","JEAN PHILIPPE GENEVOIS","BENJAMIN BASTERES","DEAN SCHOFIELD","GEORGE SMITH","FOTUNUUPULE AUELUA","FELIPE CONTEPOMI","PIERRE MIGNONI","DAVIT KUBRIASHVILI","JEAN BAPTISTE POUX","VIRGILE LACOMBE","JOHNSON FALEFA","YOANN MAESTRI","ROMAIN MILLO CHLUSKI","YANNICK NYANGA","GREGORY LAMBOLEY","RICHARD SOWERBY","NICOLAS VERGALLO","JEAN MARC DOUSSAIN","RUPENI CAUCAUNIBUCA","YANNICK JAUZION","FLORIAN FRITZ","VILIMONI DELASAU","CLEMENT POITRENAUD","WILLIAM SERVAT","DAVID TARROQUE","RUSSLAN BOUKEROU","LOUIS PICAMOLES","MAXIME MEDARD","YVES DONGUY","CENSUS JOHNSTON","",0,12,"RC Toulon"
"1088","2010-2011","J25","2011-04-22","Castres Olympique","Biarritz Olympique PB",16,13,"","YANNICK FORESTIER","MATHIEU BONELLO","LUC DUCALCON","MATTHIAS ROLLAND","IOSEFA TEKORI","IBRAHIM DIARRA","YANNICK CABALLERO","MATEMINI MASOE","SEBASTIEN TILLOUS BORDE","SEREMAIA BAIKEINUKU","MARC ANDREU","PIERRE MANUEL GARCIA","JOSHUA TATUPU","YOAN AUDRIN","ROMAIN TEULET","AKVSENTI GIORGADZE","CARL HOEFT","RODRIGO CAPO ORTEGA","STEVE MALONGA","THOMAS SANCHOU","MATTHIEU NICOLAS","PIERRE BERNARD","DANIEL SAAYMAN","EDUARD COETZEE","ROMAIN TERRAIN","CAMPBELL JOHNSTONE","ERIK LUND","PELU IAN TAELE","MAGNUS LUND","WENCESLAS LAURET","RAPHAEL LAKAFIA","DIMITRI YACHVILI","JULIEN PEYRELONGUE","ILIKENA BOLAKORO","MARCELO BOSCH","ARNAUD MIGNARDI","TAKUDZWA NGWENYA","IAIN BALSHAW","EUSEBIO GUINAZU","JAMES TAYLOR AFOA","JEROME THION","BENOIT GUYOT","FLORIAN FAURE","LAURENT TRANIER","ALEXANDRE BAROZZI","",0,3,"Castres Olympique"
"1089","2010-2011","J25","2011-04-23","Racing 92","SU Agen",51,34,"","ANDREA LO CICERO","EDDY BEN AROUS","JULIEN BRUGNAUT","SANTIAGO DELLAPE","SEBASTIEN CHABAL","JACQUES CRONJE","THEOPHILE HENNEBUISSE","CARLO FESTUCCIA","NICOLAS DURAND","JONATHAN WISNIEWSKI","DANIEL SCARBROUGH","SALEMANE SA","JOHN LEO O","SERELI BOBO","JUAN MARTIN HERNANDEZ","SCOTT ZIMMERMANN","BENJAMIN NOIROT","SIMON RAIWALUI","RÉMI VAQUIN","JULIEN SAUBADE","BERNARD LE ROUX","KARIM GHEZAL","JOHANNES COETZEE","LAURENT CABARRY","KARIM KOUIDER","BRICE MACH","THIBAULT LASSALLE","JEAN MONRIBOT","JÉRÔME MONDOULET","PIERRE JULIEN","UELENI FONO","ANTOINE ERBANI","HENDRO SCHOLTZ","ILAITIA LEKAIWALA TAGOTAGO","SAIMONI VAKA","KEVIN SWIRYN","SILVERE TIAN","ANDREW SPRINGGAY","GERT MULLER","SEMISI TELEFONI","DEWALD SENEKAL","JAMIE PETER ROBINSON","BENJAMIN PETRE","SENIO JUNIOR PELESASA","BEKA SHEKLASHVILI","",0,17,"Racing 92"
"1090","2010-2011","J25","2011-04-23","Aviron Bayonnais","Stade Français Paris",54,20,"","MARC LEGRAS","PIERRE LAFOND","RAPHAEL POCORENA","GUILLAUME BERNAD","REMY MARTIN","BRUNO ALLIOT","GARTH PETER ZIEGLER","CEDRIC GARCIA","SEBASTIEN FAUQUE","GUILLAUME ROUET","LIONEL MAZARS","DWAYNE HAARE","THIBAULT LACROIX","YOANN HUGET","JULIEN PURICELLI","DAVID ROUMIEU","BENJAMIN BOYET","JOHAN PIETERSEN","MATTHIEU UGALDE","JEAN JOSEPH MARMOUYET","CRAIG GOWER","DENIS AVRIL","ROBIN LINDE","RABAH SLIMANI","REMI BONFILS","RAYNO GERBER","ALEXANDRE FLANQUART","ARNAUD MARCHOIS","MAURO BERGAMASCO","PIERRE RABADAN","JUAN LEGUIZAMON","NOEL OELSHIG","JULES PLISSON","OLLIE PHILLIPS","GUILLAUME BOUSSES","GONZALO TIESI","JULIEN ARIAS","MARTIN RODRIGUEZ GURRUCHAGA","DAMIEN WEBER","DAVID ATTOUB","THOMAS PHILIP PALMER","ANTOINE BURBAN","BENJAMIN TARDY","LIONEL BEAUXIS","PEDRO LEDESMA","",0,34,"Aviron Bayonnais"
"1091","2010-2011","J25","2011-04-23","Stade Toulousain","Bourgoin",33,0,"","JEAN BAPTISTE POUX","VIRGILE LACOMBE","JOHNSON FALEFA","YOANN MAESTRI","PATRICIO ALBACETE","JEAN BOUILHOU","THIERRY DUSAUTOIR","RICHARD SOWERBY","JEAN MARC DOUSSAIN","DAVID SKRELA","MAXIME MEDARD","YANNICK JAUZION","RUPENI CAUCAUNIBUCA","VINCENT CLERC","CEDRIC HEYMANS","ALBERTO VERNET BASUALDO","DANIEL HUMAN","RUSSLAN BOUKEROU","LOUIS PICAMOLES","NICOLAS BEZY","FLORIAN FRITZ","PIERRE GILLES LAKAFIA","YOHAN MONTES","OLIVIER MILLOUD","REMY VIGNEAUX","SYLVAIN CHARLET","LEANDRE COTTE","CAMILLE LEVAST","BOGDAN LEONTE","THOMAS GENEVOIS","JULIEN FRIER","JEREMY GONDRAND","MATIAS VIAZZO","WILLIEM PETRUS VAN ZYL","WALTER ARGOUD","DAVID JANIN","GAETAN GERMAIN","SEBASTIEN LALOO","TONE ALEFA KOPELANI","ARNAUD TCHOUGONG KAMGA","COENRAAD BASSON","EWERT WESSEL JOOSTE","JULIEN GROS","JEAN FRANCOIS COUX","RUAAN DU PREEZ","",0,33,"Stade Toulousain"
"1092","2010-2011","J25","2011-04-23","ASM Clermont","Stade Rochelais",34,10,"","LIONEL FAURE","MARIO LEDESMA AROCENA","MARTIN SCELZO","JULIEN PIERRE","THIBAUT PRIVAT","JULIEN BONNAIRE","ALEXANDRE AUDEBERT","SIONE LAUAKI","MORGAN PARRA","BROCK JAMES","JULIEN MALZIEU","GONZALO CANALE","AURELIEN ROUGERIE","KINI MURIMURIVALU","ANTHONY FLOCH","TI""I PAULO","VINCENT DEBATY","JAMIE CUDMORE","ELVIS VERMEULEN","KEVIN SENIO","BENOIT BABY","TALAAVE GEORGE PISI","DAVIT ZIRAKASHVILI","STEPHANE CLEMENT","BENJAMIN GELEDAN","TAMATO LEUPOLU","ROMAIN SAZY","FRANCK JACOB","QUENTIN D ARAM DE VALADA","ROMAIN CARMIGNANI","THOMAS SOUCAZE DES SOUCAZE","BENJAMIN DAMBIELLE","ROMAIN LACOSTE","MANOEL DALL IGNA","SERU RABENI","VINCENT ROUX","THOMAS COMBEZOU","GREGORY GOOSEN","PETRISOR TODERASC","ALEXANDRE BARES","ROBERT MOHR","NICOLAS DJEBAILI","DAMIEN NEVEU","REMI TALES","GAETAN GUYON","",0,24,"ASM Clermont"
"1093","2010-2011","J25","2011-04-23","RC Toulon","USA Perpignan",43,12,"","LAURENT EMMANUELLI","SEBASTIEN BRUNO","DAVIT KUBRIASHVILI","CHRISTOPHE SAMSON","DEAN SCHOFIELD","OLIVIER MISSOUP","GEORGE SMITH","JOHANN VAN NIEKERK","PIERRE MIGNONI","JONATHAN WILKINSON","RUDOLFFE WULF","FOTUNUUPULE AUELUA","GABIRIELE LOVOBALAVU","PAUL SACKEY","RORY LAMONT","JEAN PHILIPPE GENEVOIS","BENJAMIN BASTERES","KRISTIAN CHESNEY","JOSEPH EL ABD","FELIPE CONTEPOMI","BENJAMIN LAPEYRE","FABIEN CIBRAY","DAMIEN TUSSAC","KISI PULU","CHARLES GELI","BENOIT BOURRUST","YOHAN VIVALDA","ROBINS TCHALE WATCHOU","GREGORY LE CORVEC","OVIDIU TONITA","HENRY TUILAGI","DAVID MELE","GAVIN HUME","JULIEN CANDELON","JEAN PHILIPPE GRANDCLAUDE","RUDOLF COETZEE","ADRIEN PLANTE","JÉROME PORICAL","MAXIME DELONCA","PERRY FRESHWATER","GUILLAUME VILACECA","DAMIEN CHOULY","KEVIN BOULOGNE","NICOLAS LAHARRAGUE","ROMAIN BRISON","",0,31,"RC Toulon"
"1094","2010-2011","J25","2011-04-23","CA Brive","Montpellier Hérault Rugby",23,21,"","DAVIT KHINCHAGISHVILI","BENOIT CABELLO","PABLO CARDINALI","THIBAULT DUBARRY","ARNAUD MELA","GERHARD VOSLOO","FABIEN DOMINGO","ANTONIE CLAASSEN","AGUSTIN FIGUEROLA","MATHIEU BELIE","ALEXIS PALISSON","FABRICE ESTEBANEZ","JAMIE NOON","RONALD COOKE","SCOTT SPEDDING","JEAN PHILIPPE BONREPAUX","PABLO HENN","DAMIEN BROWNE","JULIEN LE DEVEDEC","SIMON AZOULAI","REGIS LESPINAS","AYITE ATAYI","VASIL KAKOVIN","JUAN GUILLERMO FIGALLO","JOAN CAUDULLO","GIORGE JGENTI","HENDRIKUS HANCKE","ALIKISIO FAKATE","JOHAN WASSERMAN","MAMUKA GORGODZE","MASINIVANUA MATADIGO","JULIEN TOMAS","RAPHAEL LAGARDE","PIERRE BERARD","FRANCOIS TRINH DUC","SANTIAGO FERNANDEZ","JIM NAGUSA","BENJAMIN THIERY","FABIEN ROFES","NAMAA LELEIMALEFAGA","ALEX TULOU","KÉVIN GIMENO","ADRIEN TOMAS","GRANT REES","KEVIN KERVAREC","",0,2,"CA Brive"
"1095","2010-2011","J26","2011-05-07","USA Perpignan","Castres Olympique",10,29,"","JEROME SCHUSTER","GUILHEM GUIRADO","NICOLAS MAS","GUILLAUME VILACECA","ROBINS TCHALE WATCHOU","BERTRAND GUIRY","DAMIEN CHOULY","HENRY TUILAGI","DAVID MELE","NICOLAS LAHARRAGUE","JOFFREY MICHEL","GAVIN HUME","DAVID MARTY","ADRIEN PLANTE","JÉROME PORICAL","CHARLES GELI","KISI PULU","RIMAS ALVAREZ KAIRELIS","OVIDIU TONITA","GREGORY LE CORVEC","RUDOLF COETZEE","MANUEL EDMONDS","BENOIT BOURRUST","YANNICK FORESTIER","MATHIEU BONELLO","LUC DUCALCON","RODRIGO CAPO ORTEGA","IOSEFA TEKORI","IBRAHIM DIARRA","YANNICK CABALLERO","MATEMINI MASOE","SEBASTIEN TILLOUS BORDE","CAMERON MCINTYRE","MARC ANDREU","SEREMAIA BAIKEINUKU","ROMAIN CABANNES","YOAN AUDRIN","ROMAIN TEULET","AKVSENTI GIORGADZE","CARL HOEFT","SCOTT MURRAY","STEVE MALONGA","THOMAS SANCHOU","JOSHUA TATUPU","MICHAEL COETZEE","",0,-19,"Castres Olympique"
"1096","2010-2011","J26","2011-05-07","Stade Français Paris","Racing 92",16,29,"","PEDRO LEDESMA","DIMITRI SZARZEWSKI","DAVID ATTOUB","ARNAUD MARCHOIS","ALEXANDRE FLANQUART","ANTOINE BURBAN","ARISTIDE BARRAUD","JUAN LEGUIZAMON","JULIEN DUPUY","BRIAN LIEBENBERG","JULIEN ARIAS","MATHIEU BASTAREAUD","GUILLAUME BOUSSES","MAURO BERGAMASCO","HUGO BONNEVAL","CHERIF SLIMANI","RAYNO GERBER","ARTHUR JOLY","PASCAL PAPE","PIERRE RABADAN","DJIBRIL CAMARA","NOEL OELSHIG","RODRIGO RONCERO","EDDY BEN AROUS","GREGORY ARGANESE","CARLO FESTUCCIA","FABRICE METZ","KARIM GHEZAL","SEBASTIEN CHABAL","ANTOINE BATTUT","JACQUES CRONJE","NICOLAS DURAND","JEROME FILLOL","JULIEN JANE","MIRCO BERGAMASCO","HENRY CHAVANCY","SERELI BOBO","BENJAMIN FALL","BENJAMIN NOIROT","HUGO RAPP","JUAN PABLO ORLANDI","FABRICE CULINE","LIONEL NALLET","BERNARD LE ROUX","MAXIME GAU","",0,-13,"Racing 92"
"1097","2010-2011","J26","2011-05-07","Montpellier Hérault Rugby","RC Toulon",27,3,"","JUAN GUILLERMO FIGALLO","FABIEN ROFES","GIORGE JGENTI","HENDRIKUS HANCKE","ALIKISIO FAKATE","FULGENCE OUEDRAOGO","MAMUKA GORGODZE","MASINIVANUA MATADIGO","JULIEN TOMAS","FRANCOIS TRINH DUC","MARTIN BUSTOS MOYANO","SANTIAGO FERNANDEZ","SETAREKI TUILEVUKA","JIM NAGUSA","BENJAMIN THIERY","JOAN CAUDULLO","NAMAA LELEIMALEFAGA","MICKAËL DE MARCO","VASSILI BOST","BENOIT PAILLAUGUE","PIERRE BERARD","GRANT REES","KEVIN KERVAREC","LAURENT EMMANUELLI","SEBASTIEN BRUNO","CARL HAYMAN","CHRISTOPHE SAMSON","DEAN SCHOFIELD","GEORGE SMITH","JOSEPH EL ABD","JUAN MARTIN FERNANDEZ LOBBE","PIERRE MIGNONI","JONATHAN WILKINSON","BENJAMIN LAPEYRE","FOTUNUUPULE AUELUA","GABIRIELE LOVOBALAVU","PAUL SACKEY","RORY LAMONT","JEAN PHILIPPE GENEVOIS","BENJAMIN BASTERES","KRISTIAN CHESNEY","JOHANN VAN NIEKERK","GAVIN LLOYD HENSON","FELIPE CONTEPOMI","DAVIT KUBRIASHVILI","",0,24,"Montpellier Hérault Rugby"
"1098","2010-2011","J26","2011-05-07","Bourgoin","Biarritz Olympique PB",18,22,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,-4,"Biarritz Olympique PB"
"1099","2010-2011","J26","2011-05-07","SU Agen","CA Brive",36,10,"","BERNARD ARSÈNE N NOMO","JALIL NARJISSI","GERT MULLER","DEWALD SENEKAL","LISIATE FAAOSO","JEAN MONRIBOT","ADRIAAN BADENHORST","UELENI FONO","MAXIME MACHENAUD","CONRAD BARNARD","BRICE DULIN","SENIO JUNIOR PELESASA","MANU AHOTAEILOA","SAIMONI VAKA","SILVERE TIAN","SEMISI TELEFONI","LAURENT CABARRY","DAMIEN LAGRANGE","JÉRÔME MONDOULET","SYLVAIN DUPUY","VALENTIN COURRENT","MIGUEL AVRAMOVIC","BEKA SHEKLASHVILI","PATRICK BARNARD","","","","","","","","","","","","","","","","","","","","","","",0,26,"SU Agen"
"1100","2010-2011","J26","2011-05-07","Stade Rochelais","Aviron Bayonnais",17,30,"","ALEXANDRE BARES","STEPHANE CLEMENT","TAMATO LEUPOLU","DAVID MC GOWAN","JACOBUS GROBLER","NICOLAS DJEBAILI","PIERRE SOM","THOMAS SOUCAZE DES SOUCAZE","DAMIEN NEVEU","REMI TALES","MANOEL DALL IGNA","VINCENT ROUX","SERU RABENI","THOMAS COMBEZOU","GREGORY GOOSEN","ANDRES BORDOY","PETRISOR TODERASC","ROBERT MOHR","ROMAIN SAZY","BENJAMIN DAMBIELLE","ROMAIN LACOSTE","JEROME JACQUET","JONATHAN GARCIA","PIERRE LAFOND","DAVID ROUMIEU","DENIS AVRIL","ABDELLATIF BOUTATY","ROSS AMI FILIPO","GUILLAUME BERNAD","DWAYNE HAARE","MARC BAGET RABAROU","CEDRIC GARCIA","BENJAMIN BOYET","JOHAN PIETERSEN","SEBASTIEN FAUQUE","SAM GERBER","YOANN HUGET","PEPITO ELHORGA","ARNAUD HEGUY","ARETZ IGUINIZ","ROBIN LINDE","JEAN JOSEPH MARMOUYET","JULIEN AUDY","THIBAUT VISENSANG","WALTER DESMAISON","",0,-13,"Aviron Bayonnais"
"1101","2010-2011","J26","2011-05-07","Stade Toulousain","ASM Clermont",15,6,"","DANIEL HUMAN","WILLIAM SERVAT","CENSUS JOHNSTON","YOANN MAESTRI","PATRICIO ALBACETE","YANNICK NYANGA","THIERRY DUSAUTOIR","RICHARD SOWERBY","JEAN MARC DOUSSAIN","NICOLAS BEZY","RUPENI CAUCAUNIBUCA","CLEMENT POITRENAUD","YANNICK JAUZION","MAXIME MEDARD","CEDRIC HEYMANS","VIRGILE LACOMBE","JEAN BAPTISTE POUX","LOUIS PICAMOLES","RUSSLAN BOUKEROU","DAVID SKRELA","FLORIAN FRITZ","VINCENT CLERC","YOHAN MONTES","LIONEL FAURE","TI""I PAULO","DAVIT ZIRAKASHVILI","JAMIE CUDMORE","THIBAUT PRIVAT","JULIEN BONNAIRE","JULIEN BARDY","ELVIS VERMEULEN","MORGAN PARRA","BROCK JAMES","JULIEN MALZIEU","GONZALO CANALE","AURELIEN ROUGERIE","KINI MURIMURIVALU","ANTHONY FLOCH","MARIO LEDESMA AROCENA","RAPHAEL CHAUME","LOÏC JACQUET","ALEXANDRE LAPANDRY","KEVIN SENIO","WESLEY FOFANA","MARTIN SCELZO","",0,9,"Stade Toulousain"
"1102","2010-2011","Barrages","2011-05-13","ASM Clermont","Biarritz Olympique PB",27,17,"","VINCENT DEBATY","MARIO LEDESMA AROCENA","MARTIN SCELZO","JAMIE CUDMORE","THIBAUT PRIVAT","JULIEN BONNAIRE","ALEXANDRE LAPANDRY","SIONE LAUAKI","MORGAN PARRA","BROCK JAMES","JULIEN MALZIEU","GONZALO CANALE","MARIUS JOUBERT","WESLEY FOFANA","ANTHONY FLOCH","TI""I PAULO","LIONEL FAURE","JULIEN PIERRE","ELVIS VERMEULEN","KEVIN SENIO","ROBERT RUSSELL","KINI MURIMURIVALU","DAVIT ZIRAKASHVILI","EDUARD COETZEE","ROMAIN TERRAIN","CAMPBELL JOHNSTONE","ERIK LUND","PELU IAN TAELE","MAGNUS LUND","IMANOL HARINORDOQUY","RAPHAEL LAKAFIA","DIMITRI YACHVILI","JULIEN PEYRELONGUE","ILIKENA BOLAKORO","ARNAUD MIGNARDI","MARCELO BOSCH","TAKUDZWA NGWENYA","IAIN BALSHAW","EUSEBIO GUINAZU","JAMES TAYLOR AFOA","JEROME THION","WENCESLAS LAURET","YANN LESGOURGUES","LAURENT TRANIER","SYLVAIN MARCONNET","",0,10,"ASM Clermont"
"1103","2010-2011","Barrages","2011-05-14","Castres Olympique","Montpellier Hérault Rugby",17,18,"","YANNICK FORESTIER","MATHIEU BONELLO","LUC DUCALCON","RODRIGO CAPO ORTEGA","IOSEFA TEKORI","IBRAHIM DIARRA","YANNICK CABALLERO","MATEMINI MASOE","SEBASTIEN TILLOUS BORDE","CAMERON MCINTYRE","MARC ANDREU","SEREMAIA BAIKEINUKU","ROMAIN CABANNES","YOAN AUDRIN","ROMAIN TEULET","BENJAMIN KAYSER","CARL HOEFT","MATTHIAS ROLLAND","STEVE MALONGA","ALEXANDRE ALBOUY","JOSHUA TATUPU","PIERRE BERNARD","DANIEL SAAYMAN","JUAN GUILLERMO FIGALLO","FABIEN ROFES","GIORGE JGENTI","HENDRIKUS HANCKE","ALIKISIO FAKATE","FULGENCE OUEDRAOGO","MAMUKA GORGODZE","MASINIVANUA MATADIGO","JULIEN TOMAS","FRANCOIS TRINH DUC","MARTIN BUSTOS MOYANO","SANTIAGO FERNANDEZ","SYLVAIN MIRANDE","JIM NAGUSA","BENJAMIN THIERY","JOAN CAUDULLO","NAMAA LELEIMALEFAGA","MICKAËL DE MARCO","VASSILI BOST","BENOIT PAILLAUGUE","PIERRE BERARD","KEVIN KERVAREC","",0,-1,"Montpellier Hérault Rugby"
"1104","2010-2011","Semi","2011-05-27","Stade Toulousain","ASM Clermont",29,6,"","DANIEL HUMAN","WILLIAM SERVAT","CENSUS JOHNSTON","ROMAIN MILLO CHLUSKI","PATRICIO ALBACETE","JEAN BOUILHOU","THIERRY DUSAUTOIR","LOUIS PICAMOLES","JEAN MARC DOUSSAIN","DAVID SKRELA","MAXIME MEDARD","CLEMENT POITRENAUD","YANNICK JAUZION","RUPENI CAUCAUNIBUCA","CEDRIC HEYMANS","VIRGILE LACOMBE","JEAN BAPTISTE POUX","YOANN MAESTRI","YANNICK NYANGA","NICOLAS BEZY","FLORIAN FRITZ","RICHARD SOWERBY","JOHNSON FALEFA","LIONEL FAURE","MARIO LEDESMA AROCENA","MARTIN SCELZO","JAMIE CUDMORE","THIBAUT PRIVAT","JULIEN BONNAIRE","ALEXANDRE LAPANDRY","ELVIS VERMEULEN","MORGAN PARRA","BROCK JAMES","JULIEN MALZIEU","GONZALO CANALE","MARIUS JOUBERT","WESLEY FOFANA","ANTHONY FLOCH","TI""I PAULO","VINCENT DEBATY","JULIEN PIERRE","SIONE LAUAKI","KEVIN SENIO","KINI MURIMURIVALU","DAVIT ZIRAKASHVILI","",0,23,"Stade Toulousain"
"1105","2010-2011","Semi","2011-05-28","Racing 92","Montpellier Hérault Rugby",25,26,"","JULIEN BRUGNAUT","BENJAMIN NOIROT","SALEMANE SA","LIONEL NALLET","KARIM GHEZAL","ALVARO GALINDO","JACQUES CRONJE","JOHN LEO O","MATHIEU LOREE","JONATHAN WISNIEWSKI","SERELI BOBO","HENRY CHAVANCY","FRANÇOIS STEYN","JULIEN SAUBADE","BENJAMIN FALL","CARLO FESTUCCIA","ANDREA LO CICERO","JUAN PABLO ORLANDI","JONE QOVU NAILIKO","SEBASTIEN CHABAL","NICOLAS DURAND","MIKAELE TUUGAHALA","HUGO RAPP","JUAN GUILLERMO FIGALLO","FABIEN ROFES","GIORGE JGENTI","HENDRIKUS HANCKE","ALIKISIO FAKATE","FULGENCE OUEDRAOGO","MASINIVANUA MATADIGO","MAMUKA GORGODZE","JULIEN TOMAS","FRANCOIS TRINH DUC","MARTIN BUSTOS MOYANO","SANTIAGO FERNANDEZ","SYLVAIN MIRANDE","JIM NAGUSA","BENJAMIN THIERY","NAMAA LELEIMALEFAGA","KEVIN KERVAREC","VASSILI BOST","MICKAËL DE MARCO","JOAN CAUDULLO","BENOIT PAILLAUGUE","","",0,-1,"Montpellier Hérault Rugby"
